ID,name,sku,description,short_description,category_od,brand,cost,price,compare_at_price,currency,quantity,low_stock_threshold,track_quantity,stock_status,weight,length,width,height,material,model,colors,sizes,status,visibility,featured,available_online,supplier_id,supplier_sku,lead_time,minimum_order_quantity,seo_title,seo_description,tags,bar_code,warranty_period,country_of_origin,HSCode,CreatedBy,CreatedAt,UpdatedAt
16,List Headphones,26804CDF,Opportunity citizen professor owner which. Own black avoid country do study couple.,Visit material south whatever.,8,Reebok,106.86,192.25,,USD,83,13,True,out_of_stock,1.678,28.77,54.48,6.99,Cotton,iO-34595,White,XL,active,visible,True,True,2,764D97E5-8,12,1,List Headphones at Best Price,Visit material south whatever.,"['sale', 'trending']",9BA4F1A8-098,16,Germany,950840,9,2023-07-03 05:15:13,2025-06-11 09:20:24
17,Candidate Headphones,D59C00A9,Beyond maybe age land voice. Enough north Mr say. Station around ready will job threat among. Especially parent training once.,Out worker care make all current.,17,Lenovo,305.64,437.81,,USD,90,10,True,out_of_stock,0.854,12.87,83.41,10.18,Plastic,WU-36735,Green,"XXL, M, S",draft,visible,True,True,3,826FE2D9-8,8,1,Candidate Headphones at Best Price,Out worker care make all current.,"['fitness', 'gear']",D2BAF55A-647,21,India,971983,9,2024-12-18 18:34:44,2025-04-11 14:26:59
18,Your Watch,A9FE7929,Performance particular tend issue take skill building. Where yes floor local still language figure. Believe future impact point sign hospital ready.,Unit wish poor that including good least.,11,Reebok,361.02,435.93,,USD,33,11,True,in_stock,2.33,29.4,13.63,7.4,Cotton,iv-76101,"Green, Red","M, L, XL",archived,hidden,True,True,1,2AB1BEE5-0,23,1,Your Watch at Best Price,Unit wish poor that including good least.,"['fashion', 'summer']",BA9BDE7E-133,24,Japan,864085,6,2025-04-23 14:11:34,2024-07-01 13:18:17
19,Contain Laptop,8AF1BCE0,Knowledge institution agree network market against drop. Woman treat mouth event.,Institution Democrat same worker.,11,Lenovo,444.41,512.16,,USD,54,12,True,in_stock,2.035,71.86,40.35,2.35,Cotton,MU-22836,"Black, Blue, White","S, M",archived,visible,False,True,18,429CF56D-D,28,1,Contain Laptop at Best Price,Institution Democrat same worker.,"['fitness', 'gear']",FB420090-BE2,20,USA,279086,8,2025-06-04 01:26:04,2024-07-03 22:42:31
20,Former Watch,74CAB2EE,If adult animal in soldier southern. Clear paper anything within cause. Page include forget culture.,Morning news quickly pressure often sit.,5,Reebok,329.49,461.84,505.658707559722,USD,15,13,True,low_stock,0.806,71.45,42.19,25.05,Glass,iV-80476,"White, Red, Green",L,draft,visible,False,True,15,558B70B0-5,28,1,Former Watch at Best Price,Morning news quickly pressure often sit.,"['fitness', 'gear']",19EBEFB3-661,13,Germany,162750,9,2023-08-22 18:44:12,2024-11-17 10:17:51
21,Open Monitor,CE390648,Marriage why human trial method let. Structure discuss worker deep report sister hold interesting. Or think hard tend store institution.,Which care dream nor.,15,Reebok,233.51,247.55,268.938417599503,USD,78,15,True,discontinued,1.052,21.6,91.42,3.02,Rubber,Un-37999,"Red, Yellow, Black",L,active,visible,True,True,12,793FC95A-2,23,1,Open Monitor at Best Price,Which care dream nor.,"['fashion', 'summer']",CEDF2E85-82B,18,Japan,181798,5,2024-04-29 15:16:33,2024-07-22 04:43:20
22,President Bag,B4C82B85,Unit site side experience ability number.,Number turn world same sell event budget thing.,13,LG,242.43,394.46,,USD,87,7,True,discontinued,0.972,31.86,58.7,8.39,Glass,MX-55239,"Black, Yellow, Red",XXL,active,visible,True,True,7,37C1BB31-7,14,1,President Bag at Best Price,Number turn world same sell event budget thing.,"['fashion', 'summer']",D0CFA57F-690,17,China,620031,4,2024-02-28 16:36:06,2024-12-09 23:09:24
23,Head Sneakers,B60D6401,Land continue both would bring brother car than. Matter American we few key two. Congress old suggest.,Culture drug than stuff.,18,Reebok,398.51,518.38,,USD,69,7,True,in_stock,3.815,53.64,14.93,4,Glass,ah-23042,"Black, Green","XXL, S, M",active,visible,False,True,17,035A9713-3,8,1,Head Sneakers at Best Price,Culture drug than stuff.,"['electronics', 'new']",8B663C6E-914,6,Japan,386371,2,2024-12-18 04:36:12,2025-05-19 17:36:33
24,Best Sneakers,03D9CF57,Management wonder nice sell action another through. Deep police news rock most. Side cause medical with look idea rich.,Edge hotel alone magazine new research charge.,13,HP,444.58,565.98,,USD,82,12,True,discontinued,0.237,89.87,74.36,17.66,Cotton,Za-43190,"Red, Blue","S, XXL, L",archived,hidden,True,True,4,2A53DEC6-D,6,1,Best Sneakers at Best Price,Edge hotel alone magazine new research charge.,"['fitness', 'gear']",F004AE91-46D,8,India,574046,5,2025-05-28 05:23:24,2024-11-09 10:09:25
25,Far Headphones,C339DE2B,Report radio suddenly. Beat a goal week lead course president. Bring sea ago require.,Challenge cultural doctor card.,11,Reebok,476.6,537.46,549.867212534979,USD,88,9,True,in_stock,1.402,19.29,88.02,7,Glass,Xk-68420,"Yellow, Blue, Black","L, S, M",archived,visible,False,True,7,3E14BC48-3,3,1,Far Headphones at Best Price,Challenge cultural doctor card.,"['sale', 'trending']",3875CEDA-DEE,18,Germany,561849,9,2023-12-07 15:08:54,2024-07-10 17:50:00
26,So Bag,D15401D6,Protect ahead picture she at enter. Operation option wonder whether employee discuss. Base official central financial describe production.,Student officer article describe a art month.,2,LG,498.31,676.7,,USD,31,10,True,low_stock,2.608,55.55,57.69,18.93,Cotton,wj-17098,"Red, Yellow, Blue","S, XL, M",active,hidden,False,True,18,CC2A9AB4-6,30,1,So Bag at Best Price,Student officer article describe a art month.,"['fashion', 'summer']",FEEB7164-BDD,22,Vietnam,753852,6,2023-06-25 07:18:16,2024-09-03 12:39:52
27,Third Phone,9320030000000,Contain third push role.,Health million number happen.,5,Samsung,199.72,373.01,392.021798207604,USD,7,7,True,low_stock,2.561,47.91,44.21,9.27,Leather,xi-95936,"Red, Blue","XXL, L, M",draft,visible,True,True,1,C68E6EFF-E,25,1,Third Phone at Best Price,Health million number happen.,"['fitness', 'gear']",6D754E40-574,7,China,433264,2,2025-05-31 19:00:05,2025-01-05 08:30:45
28,Various Sneakers,4D5CE00D,Yes key start fact meeting live author. Safe political task himself cost run. Of party discover hair care place. Writer happy week writer economic prevent hard.,Main threat available be personal ball window.,4,LG,483.32,634.38,,USD,63,8,True,in_stock,1.747,42.15,56.22,10.88,Leather,Xr-69030,"White, Red, Blue","XXL, S",archived,visible,False,True,8,08B791DA-6,23,1,Various Sneakers at Best Price,Main threat available be personal ball window.,"['fitness', 'gear']",C1645D17-760,17,China,222409,10,2024-09-29 05:57:39,2024-08-31 09:42:48
29,Institution Bag,3C49FB25,Boy ten me pretty hot involve respond. Bill successful language society loss themselves win. According join reflect political discover size.,Around a measure whose.,9,Nike,316.67,390.63,422.741191401188,USD,50,9,True,in_stock,1.447,57.3,71.39,16.08,Wood,qU-25031,Black,"L, XXL, XL",archived,visible,False,True,2,9788F735-C,18,1,Institution Bag at Best Price,Around a measure whose.,"['fashion', 'summer']",74440BB4-74B,22,China,931768,3,2024-02-12 02:40:21,2025-03-23 00:42:48
30,Soldier Sneakers,CCBA75B7,Environment window price total interesting. Leave affect method hair financial fight.,Back whom professor well.,11,Lenovo,430.24,598.1,613.781263065363,USD,4,9,True,in_stock,1.872,81.02,61.17,19.5,Plastic,qt-33602,Yellow,S,archived,hidden,False,True,10,70658C34-B,16,1,Soldier Sneakers at Best Price,Back whom professor well.,"['electronics', 'new']",ED689AB8-9B9,20,India,337529,3,2024-03-30 06:46:47,2024-08-10 13:19:44
31,Despite Monitor,D11A961B,Agent because likely wife full seek.,Environment probably seven idea ahead cold.,20,LG,367.04,382.98,405.972650671068,USD,47,7,True,discontinued,3.456,55.23,36.97,22.65,Rubber,Yi-80500,Black,"S, L, XXL",draft,visible,False,True,7,1F7F3823-2,24,1,Despite Monitor at Best Price,Environment probably seven idea ahead cold.,"['fashion', 'summer']",762507E1-49A,12,Japan,660533,7,2024-11-04 17:11:53,2024-12-31 08:16:26
32,Ground Watch,9E2B48D7,They age risk Mrs door new town. And through we happen somebody agency pressure.,Fund all number.,13,Asus,173.04,229.63,240.679987847381,USD,43,13,True,out_of_stock,2.849,15.21,33.7,27.55,Metal,CD-24466,"Yellow, White, Blue",XXL,archived,visible,False,True,18,545AE83C-5,22,1,Ground Watch at Best Price,Fund all number.,"['fashion', 'summer']",383B5C9D-D9E,18,Japan,639071,5,2025-01-02 01:55:44,2024-10-08 01:07:13
33,Dream Laptop,58A130A3,Decade way learn. Rest employee tax maintain society. Everybody professor large. What relationship security.,Listen research smile house pretty tonight.,20,Lenovo,126.5,257.78,272.468542518251,USD,9,9,True,in_stock,4.272,65.79,49.8,12.84,Rubber,NA-82500,Green,"L, XXL, S",active,hidden,False,True,10,47DFCC04-5,25,1,Dream Laptop at Best Price,Listen research smile house pretty tonight.,"['fashion', 'summer']",986269BC-946,24,USA,153121,1,2025-05-29 16:14:26,2024-08-05 21:37:23
34,They T-shirt,E191CBC7,Build either newspaper anything. Newspaper able also three million. Suffer Congress learn just.,Coach debate start west west social statement inside.,14,Nike,251.72,405.55,,USD,78,9,True,low_stock,3.963,55.77,88.32,12.09,Leather,Pv-24788,"Red, Blue, Black","S, XL",draft,visible,False,True,17,E9953C16-A,26,1,They T-shirt at Best Price,Coach debate start west west social statement inside.,"['electronics', 'new']",0A2185F7-24A,16,Germany,642625,10,2023-10-12 16:45:19,2025-01-31 12:49:57
35,Opportunity Bag,52D7B95D,Next wife material address goal for control. Foot seek mission as short open. New study south return.,Left go role imagine station.,8,Asus,311.66,437.26,,USD,51,9,True,low_stock,1.791,14.47,39.74,4.74,Cotton,Lv-31435,Red,"M, L, S",archived,visible,False,True,3,0CD2F29B-B,24,1,Opportunity Bag at Best Price,Left go role imagine station.,"['sale', 'trending']",E296A9EE-961,24,China,438853,7,2023-11-07 01:27:44,2024-07-03 16:44:29
36,Fine Laptop,FB9E7006,Page huge collection friend opportunity after could. Clearly marriage yet final result these hope. Case history thank direction.,Fill data television too.,11,Adidas,151.69,338.85,,USD,90,8,True,in_stock,0.557,29.13,63.13,9.97,Plastic,zf-44657,"Yellow, Red, Black",L,archived,hidden,True,True,1,C51D184E-4,26,1,Fine Laptop at Best Price,Fill data television too.,"['fashion', 'summer']",26166A06-C47,16,Vietnam,225740,3,2025-01-04 10:21:21,2024-09-22 10:50:25
37,Window Monitor,9A39A503,Type mean character why. Upon lead hospital section phone section mean. Ground challenge product personal.,Into fish resource marriage give.,10,Sony,235.41,270.25,313.486171519516,USD,78,9,True,in_stock,1.419,80.8,42.85,21.73,Metal,iZ-22677,Green,"XXL, M, L",archived,visible,False,True,12,96CC4058-2,7,1,Window Monitor at Best Price,Into fish resource marriage give.,"['sale', 'trending']",DFDFFAB3-5BE,13,China,879032,7,2025-01-01 11:33:02,2025-01-29 03:20:45
38,Probably Bag,FA6262C4,Human blue collection new kind. Every time finally hospital.,Break picture another guess police product husband.,7,Apple,176.45,217.69,230.754383351041,USD,92,12,True,low_stock,1.441,47.61,31.4,9.83,Cotton,wb-68322,Black,"M, S, XXL",draft,hidden,False,True,16,B0C836F2-A,27,1,Probably Bag at Best Price,Break picture another guess police product husband.,"['fitness', 'gear']",51946868-FD3,22,Vietnam,345234,2,2025-03-17 05:30:05,2025-05-18 05:16:29
39,Forward Phone,AD04EDDF,Most investment open five identify.,Energy usually order main civil body.,8,Dell,320.85,383.74,,USD,34,11,True,discontinued,1.612,37.68,42.51,1.88,Plastic,ej-14420,White,"XL, L, M",archived,visible,False,True,19,21597BE7-D,28,1,Forward Phone at Best Price,Energy usually order main civil body.,"['fashion', 'summer']",05BF2802-9B5,6,China,328399,9,2023-08-02 08:44:13,2024-10-29 23:45:33
40,Responsibility Laptop,301E9813,Real team low. Cold word course else pay. Past single establish expect challenge bank. Threat himself me.,White American her successful.,1,Adidas,175.88,280.24,,USD,60,8,True,out_of_stock,3.316,83.24,11.5,25.6,Cotton,Nb-85610,"Blue, Red",M,draft,visible,True,True,12,4D76B99D-4,2,1,Responsibility Laptop at Best Price,White American her successful.,"['sale', 'trending']",A89E633E-048,7,Italy,277080,8,2025-04-25 11:10:24,2025-02-20 18:38:59
41,Morning Bag,C265E983,Dinner sport between if. Wish nation budget describe statement must. Writer themselves official make.,Hundred bag would left our reality strong.,2,Dell,221.56,391.44,410.492687115398,USD,24,10,True,discontinued,4.825,69.54,89,28.01,Metal,dv-11180,"Black, Green, Blue","XL, L, XXL",active,hidden,False,True,2,F3C34B29-9,4,1,Morning Bag at Best Price,Hundred bag would left our reality strong.,"['sale', 'trending']",00431184-85D,21,Italy,238139,10,2024-06-27 18:43:35,2025-01-23 04:05:49
42,Movie Headphones,9D152DA5,Activity pull sure you its exist keep. Style memory wish simple to rock seek. Make community check support year total.,Hotel from turn site trouble lawyer.,18,Reebok,381.82,451.82,,USD,96,9,True,discontinued,4.056,65.64,81.77,27.03,Plastic,Uy-65468,"Yellow, Green","XL, S",archived,hidden,True,True,17,94D65612-5,28,1,Movie Headphones at Best Price,Hotel from turn site trouble lawyer.,"['fashion', 'summer']",CD180F8E-682,8,China,775258,1,2024-10-20 01:33:51,2024-07-06 18:00:55
43,Attention Sneakers,B364FAFE,Score after think better why real share city. Hot to science. Market remember so.,Music daughter art five factor.,5,Samsung,493.04,672.66,,USD,6,9,True,out_of_stock,2.366,83.37,19.86,23.18,Cotton,zn-23793,Green,"L, M, XXL",archived,visible,True,True,9,7F7B2C03-5,24,1,Attention Sneakers at Best Price,Music daughter art five factor.,"['electronics', 'new']",B2EF0865-4BA,16,Germany,734594,3,2023-08-31 04:42:10,2024-12-03 17:34:43
44,First Watch,FBAF4EFA,Stand as political few television money. Affect laugh heart list heavy time key.,Step trip determine for television response where.,2,Adidas,326.63,388.95,,USD,46,12,True,out_of_stock,1.426,82.43,77.56,23.51,Leather,Vy-29533,"Black, Blue","XL, M, L",archived,visible,False,True,7,C49C620A-5,22,1,First Watch at Best Price,Step trip determine for television response where.,"['fashion', 'summer']",9A79F99E-B79,23,Vietnam,196854,9,2024-11-10 04:41:12,2025-05-23 19:40:35
45,Court Headphones,9BDC77B2,Girl may service husband hold bar word performance. Yard form statement lose senior.,Difficult conference central computer husband on bad.,19,Adidas,89.13,271.49,302.560922322926,USD,33,11,True,discontinued,1.009,98.98,35.52,8.19,Rubber,dZ-61500,Black,"XL, XXL",draft,hidden,False,True,8,A2768B6B-0,5,1,Court Headphones at Best Price,Difficult conference central computer husband on bad.,"['fashion', 'summer']",40FB4BFC-2EE,15,USA,198744,10,2024-12-28 16:56:51,2024-08-28 16:04:30
46,Allow Bag,9841C2A9,Recognize whose story letter anyone I pattern. Much bank finally.,Discuss well could.,14,Dell,37.07,123.3,135.177976830414,USD,65,10,True,out_of_stock,4.109,91.84,80.4,14.61,Rubber,wU-97318,Green,XXL,draft,visible,False,True,13,7698E9B0-D,13,1,Allow Bag at Best Price,Discuss well could.,"['sale', 'trending']",2490F274-F99,17,China,276009,1,2025-05-17 21:01:02,2024-08-19 05:06:18
47,Race Monitor,A49897A3,Check from road I ability read fall. Knowledge artist center. Improve live evening environment moment chair. Cause culture school often simple among.,Tell and citizen never help price again.,2,Puma,32.29,118.07,136.5489589896,USD,95,11,True,out_of_stock,1.628,35.78,47.34,27.07,Glass,hi-17154,"Blue, Green, Red","XL, S, XXL",archived,hidden,True,True,2,2090B5CA-1,30,1,Race Monitor at Best Price,Tell and citizen never help price again.,"['sale', 'trending']",1A7F59A4-E0C,23,Italy,611253,5,2024-02-26 11:12:28,2024-11-06 15:27:37
48,Player Watch,5AA109CB,True other great few particularly who. Opportunity system break least tonight over term. Foreign continue city do. Energy care reveal area citizen gas meet.,Family five boy tend year.,15,Sony,21.84,166.86,,USD,74,10,True,in_stock,4.881,73.87,43.93,18.08,Cotton,jC-72357,Black,S,archived,hidden,False,True,2,24310949-F,12,1,Player Watch at Best Price,Family five boy tend year.,"['electronics', 'new']",77BD8474-5C1,14,Italy,236473,9,2023-07-25 15:04:44,2025-05-14 14:52:02
49,Risk Laptop,5B1D9DA0,Run discuss party protect time resource though identify. Indeed guess style unit issue. Trade throw like thought and.,Guess whole tree deep move cell activity.,18,Samsung,188.96,213.65,235.531679000599,USD,10,10,True,in_stock,2.211,98.31,12.63,15.65,Wood,Es-20472,"Yellow, Red","XXL, XL",draft,hidden,False,True,10,13795386-1,10,1,Risk Laptop at Best Price,Guess whole tree deep move cell activity.,"['sale', 'trending']",8C2ACD08-0A2,17,Italy,712160,2,2023-08-18 06:34:33,2024-10-31 00:34:48
50,Feeling T-shirt,C3705034,Activity down help buy claim growth. Foreign detail world surface.,Quickly us skin.,5,Puma,498.56,604.44,628.998145408671,USD,42,15,True,out_of_stock,1.341,42.01,79.71,12.64,Glass,Sf-80849,"Blue, Green","L, XL",archived,visible,True,True,10,8102A161-9,3,1,Feeling T-shirt at Best Price,Quickly us skin.,"['fitness', 'gear']",7ED72C97-0F6,14,USA,477933,4,2024-10-05 04:32:12,2025-02-18 09:13:59
51,Report Phone,CEF1AF89,Miss statement song modern. Land seat choice late recognize support.,Much sell dream leader.,19,Nike,484.76,627.4,,USD,97,7,True,discontinued,3.389,41.83,91.87,28.55,Cotton,lp-51254,Blue,"L, M, S",draft,visible,False,True,16,A4E02802-5,28,1,Report Phone at Best Price,Much sell dream leader.,"['electronics', 'new']",0C8AD7DB-841,10,USA,285197,4,2023-12-18 19:42:20,2024-12-09 20:23:40
52,Fall Sneakers,1FE618A0,Anyone direction wide office current ability leg occur. Either pay catch there traditional. Change management hope approach operation. Few by despite process month this.,News color drug expert adult threat man.,2,HP,217.57,308.75,,USD,61,8,True,discontinued,4.291,51.09,97.08,12.35,Plastic,NV-67910,"Red, White, Black","M, S",active,hidden,False,True,1,E1FC0836-C,18,1,Fall Sneakers at Best Price,News color drug expert adult threat man.,"['electronics', 'new']",67B4B1D6-F02,24,Germany,172966,6,2023-10-04 06:44:55,2025-06-14 22:05:21
53,Piece Laptop,F5A252D9,Role hear enough real describe. Name not clear culture point. Job sport another back.,Commercial grow data himself we response pass some.,1,Sony,257,318.32,,USD,42,13,True,discontinued,0.399,92.18,61.08,17.5,Metal,Br-93314,Red,"XL, M",draft,visible,True,True,4,AE18E2E7-6,11,1,Piece Laptop at Best Price,Commercial grow data himself we response pass some.,"['electronics', 'new']",A2D54645-ABF,18,Germany,950176,1,2023-10-14 17:48:11,2024-09-03 07:11:48
54,Son Headphones,46286701,Heart those a doctor from right.,Recently state during investment.,1,Asus,319.91,423.89,,USD,57,11,True,low_stock,3.375,93.3,61.45,24.71,Metal,GL-16028,Yellow,"L, XL",draft,hidden,True,True,11,FAB8AC70-B,5,1,Son Headphones at Best Price,Recently state during investment.,"['fitness', 'gear']",FEACC0AA-F28,23,Italy,266739,4,2025-01-16 17:21:54,2024-07-06 03:00:13
55,Benefit Monitor,5308292E,Drop learn list little us sometimes. Environmental number student past also out.,Enjoy compare family both force material.,7,Dell,229.26,265.89,,USD,1,5,True,in_stock,4.375,11.78,80.35,2.21,Plastic,xz-49222,Green,"S, XL, XXL",active,visible,False,True,13,EF9A9381-8,5,1,Benefit Monitor at Best Price,Enjoy compare family both force material.,"['sale', 'trending']",7384E040-765,9,Germany,766970,8,2023-06-30 05:58:09,2024-12-12 03:57:54
56,Also T-shirt,AFBC4D74,Pick trade allow Democrat. Air window seek plant education. Pattern according office will very dog. This major fine rather.,It teach line series.,8,Apple,68.07,203.27,217.808283589183,USD,56,13,True,low_stock,2.824,48.7,54.56,12.99,Plastic,ea-81058,"Black, Blue, Green","XXL, L",archived,visible,False,True,20,16A64407-B,17,1,Also T-shirt at Best Price,It teach line series.,"['sale', 'trending']",906F6CCF-B76,20,Germany,827694,10,2024-01-15 17:03:58,2025-05-08 10:33:54
57,Usually T-shirt,5F5069C5,Same effort smile network me. Return attack enter others evidence.,Party actually top officer effect sometimes bring.,10,Adidas,339.85,394.34,417.142670317866,USD,61,7,True,in_stock,1.678,47.73,28.66,27.52,Plastic,xM-84508,Yellow,"L, S",active,hidden,True,True,13,AAAECE79-1,15,1,Usually T-shirt at Best Price,Party actually top officer effect sometimes bring.,"['electronics', 'new']",4D045693-55D,24,India,619123,7,2024-03-03 14:58:53,2025-04-19 17:48:40
